datetime,open,high,low,close,volume
01-01-2018 00:00,13715.65,13715.65,13155.38,13410.03,1676.204807
01-01-2018 04:00,13434.98,13818.55,13322.15,13570.35,1302.214836
01-01-2018 08:00,13569.98,13735.24,13001.13,13220.56,1319.755931
01-01-2018 12:00,13220.56,13330,12750,13247,1831.933153
01-01-2018 16:00,13247,13290.65,12940,13240.37,1092.337234
01-01-2018 20:00,13222.03,13599.7,13222.03,13380,1387.469883
02-01-2018 00:00,13382.16,13850,13231.96,13353.78,2365.532926
02-01-2018 04:00,13353.78,13480.84,12890.02,13343,2980.316053
02-01-2018 08:00,13343.01,13617.28,13302.59,13490,2596.182674
02-01-2018 12:00,13490,13894.86,13450.46,13690.03,3365.879508
02-01-2018 16:00,13690.02,15473.49,13503,14732.75,5090.273483
02-01-2018 20:00,14710.02,15160.31,14544,14675.11,3679.907467
03-01-2018 00:00,14690,15299.99,14660,14818.49,3303.83359
03-01-2018 04:00,14805.81,15307.56,14795.05,15170,3211.702067
03-01-2018 08:00,15170,15172.99,14150,14730.05,4202.802942
03-01-2018 12:00,14764.73,15045.51,14400.04,15033.77,2082.734125
03-01-2018 16:00,15045,15130,14671,14700.01,1659.697353
03-01-2018 20:00,14700.01,14990,14683,14919.51,1444.897562
04-01-2018 00:00,14919.51,15280,14649.99,15119.97,3062.535646
04-01-2018 04:00,15119.97,15119.97,14685,14748,2839.900442
04-01-2018 08:00,14734.07,14800,13918.04,14539.97,4339.552051
04-01-2018 12:00,14539.99,14653.4,14181.88,14353.01,3960.831185
04-01-2018 16:00,14367.99,14988,14238.01,14895.19,3636.616126
04-01-2018 20:00,14905,15100.08,14601,15059.54,3490.214124
05-01-2018 00:00,15059.56,15200,14642,14965.37,3624.97469
05-01-2018 04:00,14970,15083.63,14600,14920.14,3434.498779
05-01-2018 08:00,14916.95,16350,14880,16090.69,4235.324762
05-01-2018 12:00,16090.7,16267.04,15750,16087.72,3780.801035
05-01-2018 16:00,16094.99,17118.13,16087.73,16593.01,4211.114828
05-01-2018 20:00,16594.14,17176.24,16353,16960.39,3964.777031
06-01-2018 00:00,16960.39,17099.99,16288,16521.59,4247.71364
06-01-2018 04:00,16521.57,16750,16300,16518,2163.980432
06-01-2018 08:00,16500.18,16750.01,16340,16529.89,2570.004863
06-01-2018 12:00,16505.16,16639,16011.21,16556.22,3636.953819
06-01-2018 16:00,16550.04,16982,16501.75,16770.01,3205.687621
06-01-2018 20:00,16770.01,17143.13,16612.18,17069.79,2747.117133
07-01-2018 00:00,17069.79,17099.96,16605.01,16740.68,3154.304603
07-01-2018 04:00,16727.93,16749.98,16400,16746.99,2773.563248
07-01-2018 08:00,16747,16886.75,16560.02,16607,1475.70652
07-01-2018 12:00,16611,16649.05,16300,16439.65,1213.051465
07-01-2018 16:00,16439.64,16474.87,15610,16100.9,2778.455183
07-01-2018 20:00,16100.9,16500,15872.07,16150.03,1098.044539
08-01-2018 00:00,16218.85,16322.3,15514.99,15670.37,3174.144134
08-01-2018 04:00,15632.48,15921.68,15476,15865,3057.432567
08-01-2018 08:00,15864.99,15869.97,14551,15400,4903.911256
08-01-2018 12:00,15414,15499,12812,14299.98,8735.648961
08-01-2018 16:00,14297.9,15247.33,14238.32,15196.55,4144.274704
08-01-2018 20:00,15196.56,15270.99,14392.32,14902.54,2585.19829
09-01-2018 00:00,14902.54,15500,14701,15210,2267.730932
09-01-2018 04:00,15186.53,15397,14601,15062.28,2094.696764
09-01-2018 08:00,15062.28,15300,14170.33,14726,2553.318643
09-01-2018 12:00,14726,14829.98,14011.05,14654.96,3506.537695
09-01-2018 16:00,14655.01,14998.62,14585.01,14717.82,1558.961148
09-01-2018 20:00,14717.82,14861.56,14125,14400,2333.759071
10-01-2018 00:00,14401,14480,13750,13964.05,2823.255175
10-01-2018 04:00,13980,14349.99,13855,13979,2736.517887
10-01-2018 08:00,13978.95,14128.3,13131.31,13919.08,4921.021789
10-01-2018 12:00,13919.09,14490,13500,14399.95,3221.049657
10-01-2018 16:00,14399.95,14735.43,14172.95,14349.98,2238.172719
10-01-2018 20:00,14349.98,14955.66,14240,14907.09,1470.984428
11-01-2018 00:00,14940,14968.68,12613,12920,4980.407597
11-01-2018 04:00,12911.92,13631.98,11400,13530.42,12868.42584
11-01-2018 08:00,13530.42,13896.7,13041,13385.1,3680.231771
11-01-2018 12:00,13385.1,14400,13282.13,13958.08,4441.493462
11-01-2018 16:00,13950.05,14190,13205.58,13430.16,2789.52886
11-01-2018 20:00,13400,13655.92,12511,13238.78,4794.636219
12-01-2018 00:00,13238.76,13855,12500,13850,4171.703479
12-01-2018 04:00,13854.95,13966.63,13354.1,13722.04,2879.468236
12-01-2018 08:00,13722.04,14109.78,13301.99,13900.02,2432.973815
12-01-2018 12:00,13900.02,14059.48,13358.99,13411.79,2641.69364
12-01-2018 16:00,13411.79,13801.01,13222,13717,2835.853077
12-01-2018 20:00,13717,13900,13510,13740.01,1455.46989
13-01-2018 00:00,13749.95,14250,13706.15,14066,2933.250737
13-01-2018 04:00,14065.99,14320,13948.41,14255.09,2020.969985
13-01-2018 08:00,14250,14254,13974.94,14178,1680.679532
13-01-2018 12:00,14166,14580,14083.55,14241.26,2567.923612
13-01-2018 16:00,14257.84,14357,13923.18,14089.34,1948.456534
13-01-2018 20:00,14086.64,14348.19,14022,14210,1070.228128
14-01-2018 00:00,14210,14339.5,14088.55,14162,1083.623176
14-01-2018 04:00,14165,14200,13359.07,13590,2682.717948
14-01-2018 08:00,13590,13720,13120,13280.15,2964.083149
14-01-2018 12:00,13280.16,13426.45,12569.2,12869.89,6253.565164
14-01-2018 16:00,12869.82,13450,12690.01,13109,2321.420216
14-01-2018 20:00,13130.52,13600.8,13100,13474.99,1712.484676
15-01-2018 00:00,13477.98,13733.52,13215.56,13368.43,2125.162132
15-01-2018 04:00,13367,13736.4,13251,13355,1952.400232
15-01-2018 08:00,13346.34,13740.27,13147.79,13644.9,3087.358567
15-01-2018 12:00,13645,14249.99,13520.17,13990.01,3698.877325
15-01-2018 16:00,13990.01,14100,13655.21,13760,1868.799947
15-01-2018 20:00,13774.97,13841.75,13340.64,13539.93,1919.496502
16-01-2018 00:00,13500,13542.93,12501,12828.99,7118.016627
16-01-2018 04:00,12829.98,13169,12222,12347.32,3386.526008
16-01-2018 08:00,12340,12488,10620.88,12127.16,17380.2611
16-01-2018 12:00,12140,12200,11000,11964.02,8099.861147
16-01-2018 16:00,11963.9,11988.47,10575.35,11064.52,8288.472559
16-01-2018 20:00,11082.12,11439,9035,10900,19128.03174
17-01-2018 00:00,10899.99,11488.88,9777,10415.99,12871.83497
17-01-2018 04:00,10415.99,11111,9950.55,10765.01,8250.154649
17-01-2018 08:00,10777.93,10799.78,9587.99,9808.14,9702.344149
17-01-2018 12:00,9850.76,10333.01,9037.94,9227.47,14020.73653
17-01-2018 16:00,9227.46,10600.83,9150.01,10390,11753.76867
17-01-2018 20:00,10366,11680.99,10181.89,10988.79,15732.95768
18-01-2018 00:00,10972.59,11600,10650,10955.45,9452.007406
18-01-2018 04:00,10950.01,11325.06,10435.33,10472.97,8196.573674
18-01-2018 08:00,10461.71,11499,10440.01,11413.78,6725.663497
18-01-2018 12:00,11413.78,11878.82,11230,11700,8457.279404
18-01-2018 16:00,11696.99,11700.06,10888,11541.94,7545.898796
18-01-2018 20:00,11535,11742.95,10635.3,10961.97,8087.01216
19-01-2018 00:00,10960,11435,10360,10830.52,8231.732797
19-01-2018 04:00,10830.52,11333,10601,11069.72,5488.382275
19-01-2018 08:00,11060,11596,10950,11530.22,5898.414912
19-01-2018 12:00,11535.18,11795,11123,11400,6420.48879
19-01-2018 16:00,11383.16,11700,11003,11160.5,5110.596379
19-01-2018 20:00,11141.1,11487.39,11061.22,11474.98,2979.760268
20-01-2018 00:00,11474.98,11795,11412.45,11749.93,3661.42197
20-01-2018 04:00,11749.91,12869,11545,12660.98,9899.460966
20-01-2018 08:00,12660.98,12835,12300,12320.01,4266.527722
20-01-2018 12:00,12320.05,12700,12240.24,12539.05,3472.518676
20-01-2018 16:00,12539.08,13099,12535,12770.02,4922.859331
20-01-2018 20:00,12779.53,12929.97,12600,12799.94,2546.069162
21-01-2018 00:00,12799.8,12799.8,12201,12400,5130.624885
21-01-2018 04:00,12409.96,12410,11300,11701.14,9978.489419
21-01-2018 08:00,11721.43,12194.18,11515,12194.18,6688.411092
21-01-2018 12:00,12194.18,12291.35,11403,11412,5842.031897
21-01-2018 16:00,11420.99,11548.99,11024,11356.99,8398.565957
21-01-2018 20:00,11356.99,11542.39,10965,11530,5341.650176
22-01-2018 00:00,11530,11770,11149,11502.93,5103.973188
22-01-2018 04:00,11480.56,11765,11400,11743.97,4492.376024
22-01-2018 08:00,11745,11926.35,11231,11240,4390.403349
22-01-2018 12:00,11240,11380,10139.97,10330,14109.4601
22-01-2018 16:00,10330.06,10750,10231,10540.71,6780.8823
22-01-2018 20:00,10507.01,10849,9900.24,10760.05,8875.51183
23-01-2018 00:00,10760.05,10998,10502,10835,5031.535467
23-01-2018 04:00,10830.82,10941.54,10108.4,10250,6406.772069
23-01-2018 08:00,10250.85,10645.06,9905,10143.1,5818.293436
23-01-2018 12:00,10143.01,10770.54,9987.02,10750,6732.222401
23-01-2018 16:00,10750,11399,10740,10952.98,8641.766165
23-01-2018 20:00,10952.96,11199,10678,10799.18,4843.333014
24-01-2018 00:00,10799.14,10894.08,10503,10820.32,4205.301336
24-01-2018 04:00,10820.32,11100.1,10500,10956,4565.207538
24-01-2018 08:00,10955.99,11234,10729,11111,4105.795217
24-01-2018 12:00,11111,11570.48,11022,11070.09,7581.661758
24-01-2018 16:00,11070.09,11285.99,10862.08,11235.28,3826.549969
24-01-2018 20:00,11235.28,11390,11057,11349.99,2874.071944
25-01-2018 00:00,11349.96,11794.05,11248.48,11688.5,4505.1983
25-01-2018 04:00,11691.28,11691.28,11430,11460,3712.389547
25-01-2018 08:00,11465.91,11483.98,11147.07,11215,3271.206106
25-01-2018 12:00,11215,11327.73,10959,10999,3855.514966
25-01-2018 16:00,10998.99,11303.9,10950.21,11237.57,3193.623586
25-01-2018 20:00,11230,11395,11111,11175.27,2302.021678
26-01-2018 00:00,11184.7,11643,11160.43,11507.34,3377.241964
26-01-2018 04:00,11507.36,11555,11010,11010,3269.703914
26-01-2018 08:00,11010.09,11034.95,10311.15,10513.97,11290.86185
26-01-2018 12:00,10510,11147.85,10410,11147.85,7721.121087
26-01-2018 16:00,11147.84,11399,10868.8,10933,5122.93022
26-01-2018 20:00,10932.99,11168,10800.93,11089,2275.012927
27-01-2018 00:00,11089,11251,10842.69,10985,2809.370415
27-01-2018 04:00,10985,11400,10963,11243.68,3227.164669
27-01-2018 08:00,11243.68,11349,10900,11020,3153.964215
27-01-2018 12:00,11018,11495,10968.18,11464.97,3418.74189
27-01-2018 16:00,11452.62,11625,11360,11505.17,3423.997781
27-01-2018 20:00,11505.1,11650,11400,11491,2827.529375
28-01-2018 00:00,11499.98,11620,11408,11592.93,2108.36326
28-01-2018 04:00,11592.93,12244,11581.85,11969,5107.716548
28-01-2018 08:00,11969,12067.99,11818,12012.62,2844.871366
28-01-2018 12:00,12001.94,12079.9,11652,11791.12,3154.966153
28-01-2018 16:00,11793,11925,11750,11870,1837.889383
28-01-2018 20:00,11870,11999.98,11804.8,11879.95,1833.532814
29-01-2018 00:00,11879.95,11975.02,11433,11598.98,3934.339324
29-01-2018 04:00,11598.98,11739.08,11273,11318.01,2856.960998
29-01-2018 08:00,11320,11528,11139.55,11279.99,2467.459034
29-01-2018 12:00,11272.01,11445,11202.82,11383.91,1923.313562
